Datum (Ortszeit);Stunde des Tages (Ortszeit);Vollständigkeit;ZScore_Det0;ZScore_Det1;ZScore_Det2;hist_cor;localTime;month;qkfz;qlkw;qpkw;utc;vkfz;vlkw;vpkw
2023-09-01;0;100.00;0.00;-1.42;0.00;0.80;2023-09-01 00:00:00+02:00;8.00;315.00;55.00;260.00;2023-08-31 22:00:00+00:00;78.00;81.00;77.00
2023-09-01;1;100.00;0.00;-1.42;0.00;0.80;2023-09-01 01:00:00+02:00;8.00;216.00;53.00;163.00;2023-08-31 23:00:00+00:00;71.00;72.00;70.00
2023-09-01;2;100.00;0.00;0.14;0.00;0.89;2023-09-01 02:00:00+02:00;9.00;175.00;52.00;123.00;2023-09-01 00:00:00+00:00;74.00;76.00;73.00
2023-09-01;3;100.00;0.00;0.14;0.00;0.89;2023-09-01 03:00:00+02:00;9.00;218.00;94.00;124.00;2023-09-01 01:00:00+00:00;80.00;81.00;80.00
2023-09-01;4;100.00;0.00;0.14;0.00;0.89;2023-09-01 04:00:00+02:00;9.00;294.00;100.00;194.00;2023-09-01 02:00:00+00:00;74.00;74.00;74.00
2023-09-01;5;100.00;0.00;0.14;0.00;0.89;2023-09-01 05:00:00+02:00;9.00;617.00;181.00;436.00;2023-09-01 03:00:00+00:00;79.00;79.00;79.00
2023-09-01;6;100.00;0.00;0.14;0.00;0.89;2023-09-01 06:00:00+02:00;9.00;988.00;233.00;755.00;2023-09-01 04:00:00+00:00;71.00;71.00;71.00
2023-09-01;7;100.00;0.00;0.14;0.00;0.89;2023-09-01 07:00:00+02:00;9.00;1207.00;241.00;966.00;2023-09-01 05:00:00+00:00;65.00;65.00;65.00
2023-09-01;8;100.00;0.00;0.14;0.00;0.89;2023-09-01 08:00:00+02:00;9.00;1220.00;183.00;1037.00;2023-09-01 06:00:00+00:00;66.00;66.00;66.00
2023-09-01;9;100.00;0.00;0.14;0.00;0.89;2023-09-01 09:00:00+02:00;9.00;1178.00;176.00;1002.00;2023-09-01 07:00:00+00:00;68.00;69.00;68.00
2023-09-01;10;83.00;0.00;0.14;0.00;0.89;2023-09-01 10:00:00+02:00;9.00;941.00;144.00;797.00;2023-09-01 08:00:00+00:00;69.00;70.00;69.00
2023-09-01;11;100.00;0.00;0.14;0.00;0.89;2023-09-01 11:00:00+02:00;9.00;715.00;133.00;582.00;2023-09-01 09:00:00+00:00;74.00;74.00;74.00
2023-09-01;12;100.00;0.00;0.14;0.00;0.89;2023-09-01 12:00:00+02:00;9.00;1108.00;137.00;971.00;2023-09-01 10:00:00+00:00;76.00;77.00;76.00
2023-09-01;13;100.00;0.00;0.14;0.00;0.89;2023-09-01 13:00:00+02:00;9.00;1357.00;143.00;1214.00;2023-09-01 11:00:00+00:00;76.00;75.00;76.00
2023-09-01;14;92.00;0.00;0.14;0.00;0.89;2023-09-01 14:00:00+02:00;9.00;1292.00;123.00;1168.00;2023-09-01 12:00:00+00:00;77.00;78.00;76.00
2023-09-01;15;100.00;0.00;0.14;0.00;0.89;2023-09-01 15:00:00+02:00;9.00;1257.00;94.00;1163.00;2023-09-01 13:00:00+00:00;77.00;77.00;77.00
2023-09-01;16;100.00;0.00;0.14;0.00;0.89;2023-09-01 16:00:00+02:00;9.00;1323.00;90.00;1233.00;2023-09-01 14:00:00+00:00;73.00;73.00;73.00
2023-09-01;17;92.00;0.00;0.14;0.00;0.89;2023-09-01 17:00:00+02:00;9.00;1373.00;77.00;1296.00;2023-09-01 15:00:00+00:00;72.00;72.00;72.00
2023-09-01;18;92.00;0.00;0.14;0.00;0.89;2023-09-01 18:00:00+02:00;9.00;1378.00;60.00;1318.00;2023-09-01 16:00:00+00:00;73.00;73.00;73.00
2023-09-01;19;92.00;0.00;0.14;0.00;0.89;2023-09-01 19:00:00+02:00;9.00;1124.00;51.00;1072.00;2023-09-01 17:00:00+00:00;76.00;76.00;76.00
2023-09-01;20;100.00;0.00;0.14;0.00;0.89;2023-09-01 20:00:00+02:00;9.00;996.00;37.00;959.00;2023-09-01 18:00:00+00:00;76.00;77.00;76.00
2023-09-01;21;100.00;0.00;0.14;0.00;0.89;2023-09-01 21:00:00+02:00;9.00;928.00;51.00;877.00;2023-09-01 19:00:00+00:00;77.00;77.00;77.00
2023-09-01;22;92.00;0.00;0.14;0.00;0.89;2023-09-01 22:00:00+02:00;9.00;719.00;29.00;689.00;2023-09-01 20:00:00+00:00;77.00;77.00;77.00
2023-09-01;23;100.00;0.00;0.14;0.00;0.89;2023-09-01 23:00:00+02:00;9.00;511.00;42.00;469.00;2023-09-01 21:00:00+00:00;78.00;78.00;78.00
