Datum (Ortszeit);Stunde des Tages (Ortszeit);Vollständigkeit;ZScore_Det0;ZScore_Det1;ZScore_Det2;hist_cor;localTime;month;qkfz;qlkw;qpkw;utc;vkfz;vlkw;vpkw
2023-09-01;0;42.00;-0.27;0.00;0.00;0.87;2023-09-01 00:00:00+02:00;8.00;158.00;14.00;144.00;2023-08-31 22:00:00+00:00;40.00;40.00;40.00
2023-09-01;1;92.00;-0.27;0.00;0.00;0.87;2023-09-01 01:00:00+02:00;8.00;71.00;14.00;57.00;2023-08-31 23:00:00+00:00;39.00;35.00;40.00
2023-09-01;2;67.00;0.36;0.00;0.00;0.86;2023-09-01 02:00:00+02:00;9.00;38.00;0.00;38.00;2023-09-01 00:00:00+00:00;49.00;NaN;49.00
2023-09-01;3;42.00;0.36;0.00;0.00;0.86;2023-09-01 03:00:00+02:00;9.00;46.00;7.00;38.00;2023-09-01 01:00:00+00:00;41.00;36.00;42.00
2023-09-01;4;58.00;0.36;0.00;0.00;0.86;2023-09-01 04:00:00+02:00;9.00;62.00;9.00;53.00;2023-09-01 02:00:00+00:00;40.00;40.00;41.00
2023-09-01;5;42.00;0.36;0.00;0.00;0.86;2023-09-01 05:00:00+02:00;9.00;65.00;10.00;55.00;2023-09-01 03:00:00+00:00;39.00;41.00;39.00
2023-09-01;6;33.00;0.36;0.00;0.00;0.86;2023-09-01 06:00:00+02:00;9.00;144.00;27.00;117.00;2023-09-01 04:00:00+00:00;36.00;37.00;36.00
2023-09-01;7;25.00;0.36;0.00;0.00;0.86;2023-09-01 07:00:00+02:00;9.00;288.00;20.00;268.00;2023-09-01 05:00:00+00:00;32.00;33.00;32.00
2023-09-01;14;17.00;0.36;0.00;0.00;0.86;2023-09-01 14:00:00+02:00;9.00;246.00;12.00;234.00;2023-09-01 12:00:00+00:00;31.00;32.00;31.00
2023-09-01;17;25.00;0.36;0.00;0.00;0.86;2023-09-01 17:00:00+02:00;9.00;376.00;4.00;372.00;2023-09-01 15:00:00+00:00;27.00;26.00;27.00
2023-09-01;18;25.00;0.36;0.00;0.00;0.86;2023-09-01 18:00:00+02:00;9.00;372.00;32.00;340.00;2023-09-01 16:00:00+00:00;28.00;28.00;28.00
2023-09-01;19;50.00;0.36;0.00;0.00;0.86;2023-09-01 19:00:00+02:00;9.00;306.00;30.00;276.00;2023-09-01 17:00:00+00:00;29.00;29.00;29.00
2023-09-01;20;8.00;0.36;0.00;0.00;0.86;2023-09-01 20:00:00+02:00;9.00;276.00;12.00;264.00;2023-09-01 18:00:00+00:00;39.00;39.00;39.00
2023-09-01;21;42.00;0.36;0.00;0.00;0.86;2023-09-01 21:00:00+02:00;9.00;182.00;10.00;173.00;2023-09-01 19:00:00+00:00;39.00;37.00;39.00
2023-09-01;22;50.00;0.36;0.00;0.00;0.86;2023-09-01 22:00:00+02:00;9.00;228.00;12.00;216.00;2023-09-01 20:00:00+00:00;34.00;31.00;35.00
2023-09-01;23;50.00;0.36;0.00;0.00;0.86;2023-09-01 23:00:00+02:00;9.00;162.00;12.00;150.00;2023-09-01 21:00:00+00:00;37.00;35.00;37.00
2023-09-02;0;25.00;0.36;0.00;0.00;0.86;2023-09-02 00:00:00+02:00;9.00;72.00;4.00;68.00;2023-09-01 22:00:00+00:00;37.00;34.00;38.00
2023-09-02;1;75.00;0.36;0.00;0.00;0.86;2023-09-02 01:00:00+02:00;9.00;105.00;11.00;95.00;2023-09-01 23:00:00+00:00;41.00;37.00;41.00
2023-09-02;2;83.00;0.26;0.00;0.00;0.77;2023-09-02 02:00:00+02:00;9.00;70.00;7.00;62.00;2023-09-02 00:00:00+00:00;45.00;41.00;46.00
2023-09-02;3;67.00;0.26;0.00;0.00;0.77;2023-09-02 03:00:00+02:00;9.00;66.00;14.00;52.00;2023-09-02 01:00:00+00:00;43.00;41.00;43.00
2023-09-02;4;67.00;0.26;0.00;0.00;0.77;2023-09-02 04:00:00+02:00;9.00;52.00;6.00;46.00;2023-09-02 02:00:00+00:00;42.00;41.00;42.00
2023-09-02;5;75.00;0.26;0.00;0.00;0.77;2023-09-02 05:00:00+02:00;9.00;77.00;11.00;67.00;2023-09-02 03:00:00+00:00;43.00;37.00;44.00
2023-09-02;6;67.00;0.26;0.00;0.00;0.77;2023-09-02 06:00:00+02:00;9.00;76.00;15.00;62.00;2023-09-02 04:00:00+00:00;39.00;39.00;39.00
2023-09-02;7;33.00;0.26;0.00;0.00;0.77;2023-09-02 07:00:00+02:00;9.00;81.00;12.00;69.00;2023-09-02 05:00:00+00:00;42.00;42.00;42.00
2023-09-02;8;33.00;0.26;0.00;0.00;0.77;2023-09-02 08:00:00+02:00;9.00;111.00;3.00;108.00;2023-09-02 06:00:00+00:00;42.00;38.00;42.00
2023-09-02;9;42.00;0.26;0.00;0.00;0.77;2023-09-02 09:00:00+02:00;9.00;79.00;0.00;79.00;2023-09-02 07:00:00+00:00;37.00;NaN;37.00
2023-09-02;10;17.00;0.26;0.00;0.00;0.77;2023-09-02 10:00:00+02:00;9.00;162.00;6.00;156.00;2023-09-02 08:00:00+00:00;37.00;35.00;37.00
2023-09-02;13;8.00;0.26;0.00;0.00;0.77;2023-09-02 13:00:00+02:00;9.00;144.00;12.00;132.00;2023-09-02 11:00:00+00:00;37.00;37.00;37.00
2023-09-02;14;8.00;0.26;0.00;0.00;0.77;2023-09-02 14:00:00+02:00;9.00;36.00;0.00;36.00;2023-09-02 12:00:00+00:00;49.00;NaN;49.00
2023-09-02;16;8.00;0.26;0.00;0.00;0.77;2023-09-02 16:00:00+02:00;9.00;348.00;12.00;336.00;2023-09-02 14:00:00+00:00;28.00;28.00;28.00
2023-09-02;17;17.00;0.26;0.00;0.00;0.77;2023-09-02 17:00:00+02:00;9.00;270.00;0.00;270.00;2023-09-02 15:00:00+00:00;34.00;NaN;34.00
2023-09-02;18;25.00;0.26;0.00;0.00;0.77;2023-09-02 18:00:00+02:00;9.00;208.00;0.00;208.00;2023-09-02 16:00:00+00:00;35.00;NaN;35.00
2023-09-02;19;42.00;0.26;0.00;0.00;0.77;2023-09-02 19:00:00+02:00;9.00;326.00;12.00;314.00;2023-09-02 17:00:00+00:00;34.00;31.00;34.00
2023-09-02;20;33.00;0.26;0.00;0.00;0.77;2023-09-02 20:00:00+02:00;9.00;285.00;15.00;270.00;2023-09-02 18:00:00+00:00;31.00;30.00;32.00
2023-09-02;21;33.00;0.26;0.00;0.00;0.77;2023-09-02 21:00:00+02:00;9.00;165.00;12.00;153.00;2023-09-02 19:00:00+00:00;35.00;31.00;36.00
2023-09-02;22;42.00;0.26;0.00;0.00;0.77;2023-09-02 22:00:00+02:00;9.00;130.00;10.00;120.00;2023-09-02 20:00:00+00:00;37.00;36.00;37.00
2023-09-02;23;58.00;0.26;0.00;0.00;0.77;2023-09-02 23:00:00+02:00;9.00;166.00;10.00;156.00;2023-09-02 21:00:00+00:00;35.00;34.00;36.00
2023-09-03;0;75.00;0.26;0.00;0.00;0.77;2023-09-03 00:00:00+02:00;9.00;151.00;17.00;133.00;2023-09-02 22:00:00+00:00;38.00;37.00;39.00
2023-09-03;1;83.00;0.26;0.00;0.00;0.77;2023-09-03 01:00:00+02:00;9.00;89.00;10.00;79.00;2023-09-02 23:00:00+00:00;40.00;40.00;40.00
2023-09-03;2;83.00;0.03;0.00;0.00;0.86;2023-09-03 02:00:00+02:00;9.00;90.00;8.00;82.00;2023-09-03 00:00:00+00:00;44.00;43.00;45.00
2023-09-03;3;83.00;0.03;0.00;0.00;0.86;2023-09-03 03:00:00+02:00;9.00;67.00;7.00;60.00;2023-09-03 01:00:00+00:00;36.00;35.00;36.00
2023-09-03;4;67.00;0.03;0.00;0.00;0.86;2023-09-03 04:00:00+02:00;9.00;78.00;10.00;68.00;2023-09-03 02:00:00+00:00;36.00;31.00;36.00
2023-09-03;5;83.00;0.03;0.00;0.00;0.86;2023-09-03 05:00:00+02:00;9.00;59.00;8.00;50.00;2023-09-03 03:00:00+00:00;41.00;40.00;41.00
2023-09-03;6;83.00;0.03;0.00;0.00;0.86;2023-09-03 06:00:00+02:00;9.00;74.00;10.00;65.00;2023-09-03 04:00:00+00:00;41.00;40.00;41.00
2023-09-03;7;83.00;0.03;0.00;0.00;0.86;2023-09-03 07:00:00+02:00;9.00;82.00;8.00;73.00;2023-09-03 05:00:00+00:00;38.00;37.00;38.00
2023-09-03;8;50.00;0.03;0.00;0.00;0.86;2023-09-03 08:00:00+02:00;9.00;162.00;18.00;144.00;2023-09-03 06:00:00+00:00;40.00;40.00;40.00
2023-09-03;9;33.00;0.03;0.00;0.00;0.86;2023-09-03 09:00:00+02:00;9.00;150.00;9.00;141.00;2023-09-03 07:00:00+00:00;39.00;41.00;39.00
2023-09-03;10;33.00;0.03;0.00;0.00;0.86;2023-09-03 10:00:00+02:00;9.00;177.00;0.00;177.00;2023-09-03 08:00:00+00:00;38.00;NaN;38.00
2023-09-03;11;17.00;0.03;0.00;0.00;0.86;2023-09-03 11:00:00+02:00;9.00;186.00;0.00;186.00;2023-09-03 09:00:00+00:00;42.00;NaN;42.00
2023-09-03;12;8.00;0.03;0.00;0.00;0.86;2023-09-03 12:00:00+02:00;9.00;324.00;0.00;324.00;2023-09-03 10:00:00+00:00;37.00;NaN;37.00
2023-09-03;13;25.00;0.03;0.00;0.00;0.86;2023-09-03 13:00:00+02:00;9.00;328.00;8.00;320.00;2023-09-03 11:00:00+00:00;34.00;33.00;34.00
2023-09-03;14;17.00;0.03;0.00;0.00;0.86;2023-09-03 14:00:00+02:00;9.00;300.00;6.00;294.00;2023-09-03 12:00:00+00:00;27.00;23.00;27.00
2023-09-03;15;25.00;0.03;0.00;0.00;0.86;2023-09-03 15:00:00+02:00;9.00;276.00;12.00;264.00;2023-09-03 13:00:00+00:00;35.00;35.00;35.00
2023-09-03;16;25.00;0.03;0.00;0.00;0.86;2023-09-03 16:00:00+02:00;9.00;276.00;4.00;272.00;2023-09-03 14:00:00+00:00;38.00;40.00;38.00
2023-09-03;17;8.00;0.03;0.00;0.00;0.86;2023-09-03 17:00:00+02:00;9.00;372.00;0.00;372.00;2023-09-03 15:00:00+00:00;32.00;NaN;32.00
